subject,session,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19,block_20,block_21,block_22,block_23,block_24,block_25,block_26,block_27,block_28,block_29,block_30
001,001,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
001,002,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
001,003,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
001,004,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
001,005,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100
001,006,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
001,007,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
001,008,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
001,009,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
001,010,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
002,001,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
002,002,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
002,003,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
002,004,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100
002,005,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
002,006,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
002,007,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
002,008,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
002,009,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
002,010,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
003,001,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
003,002,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
003,003,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
003,004,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
003,005,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
003,006,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
003,007,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
003,008,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
003,009,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
003,010,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
004,001,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
004,002,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
004,003,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
004,004,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
004,005,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
004,006,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
004,007,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
004,008,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
004,009,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
004,010,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100
005,001,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
005,002,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
005,003,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
005,004,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
005,005,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
005,006,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
005,007,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
005,008,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
005,009,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
005,010,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
006,001,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
006,002,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100
006,003,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
006,004,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100
006,005,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
006,006,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100
006,007,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
006,008,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
006,009,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100
006,010,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100
007,001,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
007,002,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100
007,003,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100
007,004,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair5_100,pair6_100,pair5_100,pair6_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100,pair5_100,pair6_100,pair6_100,pair5_100,pair6_100,pair5_100
